2016-12-02 19:29:26,780 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2335,year=2013 [main] (ReportWordCount.java:49)
2016-12-02 19:29:26,861 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2335,year=2014 [main] (ReportWordCount.java:49)
2016-12-02 19:29:27,348 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2338,year=2002 [main] (ReportWordCount.java:49)
2016-12-02 19:29:27,380 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2338,year=2003 [main] (ReportWordCount.java:49)
2016-12-02 19:29:27,418 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2338,year=2004 [main] (ReportWordCount.java:49)
2016-12-02 19:29:27,453 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2338,year=2005 [main] (ReportWordCount.java:49)
2016-12-02 19:29:27,491 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2338,year=2006 [main] (ReportWordCount.java:49)
2016-12-02 19:29:27,539 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2338,year=2007 [main] (ReportWordCount.java:49)
2016-12-02 19:29:27,581 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2338,year=2008 [main] (ReportWordCount.java:49)
2016-12-02 19:29:27,619 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2338,year=2009 [main] (ReportWordCount.java:49)
2016-12-02 19:29:27,656 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2338,year=2010 [main] (ReportWordCount.java:49)
2016-12-02 19:29:27,701 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2338,year=2011 [main] (ReportWordCount.java:49)
2016-12-02 19:29:27,737 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2338,year=2012 [main] (ReportWordCount.java:49)
2016-12-02 19:29:27,784 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2338,year=2013 [main] (ReportWordCount.java:49)
2016-12-02 19:29:27,820 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2338,year=2014 [main] (ReportWordCount.java:49)
2016-12-02 19:29:27,876 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2345,year=2002 [main] (ReportWordCount.java:49)
2016-12-02 19:29:27,993 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2345,year=2003 [main] (ReportWordCount.java:49)
2016-12-02 19:29:28,150 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2345,year=2004 [main] (ReportWordCount.java:49)
2016-12-02 19:29:28,258 INFO  io.github.kazuki_aruga.calc_text.ReportWordCount - 更新します：comp_code=2345,year=2005 [main] (ReportWordCount.java:49)
